income,family_size,spending_score,expense
78035.32,2,3,25971.16
190389.29,8,6,62216.36
147738.82,6,2,47463.94
121738.4,7,8,47204.57
35423.63,1,4,14315.6
35418.93,1,10,16862.43
16326.3,6,8,17052.17
173904.35,6,8,59213.44
122217.43,7,8,41798.92
143074.15,6,1,45995.09
9013.98,6,5,17746.54
194132.42,1,10,59690.83
167326.31,6,6,54687.96
46406.13,4,9,22308.14
40455.87,1,9,20012.74
40763.88,2,5,20690.65
64327.24,8,3,30109.71
107327.5,7,9,45693.8
89229.28,6,6,36238.12
61789.68,6,7,30325.48
124311.31,3,4,38195.76
32201.3,4,3,17780.15
61968.21,8,4,31400.74
76440.56,8,7,36637.09
93933.65,4,7,29810.3
158109.31,3,7,51724.69
43936.39,4,7,22044.88
105275.72,3,8,37521.29
120520.84,4,10,46401.44
14057.83,3,10,20248.44
123471.25,8,10,51081.66
38252.2,3,7,19660.64
17685.06,2,10,16882.06
190032.68,8,7,68830.39
193298.25,8,1,57714.35
162637.48,3,9,52655.57
64399.68,6,8,28617.18
24046.06,6,7,20770.3
138425.44,3,7,46046.62
90829.74,5,1,29226.45
28797.46,8,2,22257.37
101559.5,4,6,37728.49
11705.76,6,6,17291.91
182317.48,4,8,57310.69
55462.1,1,7,21716.43
134191.85,3,3,44723.88
65783.66,3,1,22459.53
106413.26,7,7,44163.58
111608.5,4,1,35986.03
41046.62,6,10,25158.82
194069.0,1,9,53525.47
156150.9,2,5,44547.03
188202.29,3,9,58114.67
179491.33,5,4,56050.16
121590.5,4,7,44028.97
184765.48,1,9,53610.96
22256.04,8,6,19700.57
43216.66,7,6,26367.77
13819.32,3,2,11216.21
68439.41,7,8,37213.64
80792.07,6,2,32871.26
57913.06,1,5,20700.36
166603.81,5,5,55558.53
74566.9,1,4,28627.34
59782.23,4,1,21069.61
110825.74,2,9,41653.4
32480.22,2,4,14382.09
161428.41,2,6,50881.78
19537.38,6,4,16870.35
197442.95,6,9,65749.73
155587.73,8,2,52796.79
43749.56,1,9,17953.0
6076.81,6,6,12728.05
164014.98,3,8,53844.94
142837.18,3,3,43572.71
147156.4,3,5,43567.29
155397.72,5,8,50405.37
19438.71,3,10,18555.98
74900.82,4,9,31015.46
27594.47,8,9,28353.68
173305.17,1,9,55019.93
126543.13,8,3,43227.73
69525.11,8,1,32523.51
17393.88,4,2,16351.73
65641.55,7,10,36578.57
68410.75,2,9,28593.28
147273.2,7,4,50394.71
129323.71,7,4,46161.88
178006.48,4,5,57610.77
97081.91,4,7,37700.68
28320.88,4,7,23327.15
144082.73,5,6,51005.58
153353.08,1,7,46711.48
114449.05,6,9,40636.24
155338.6,7,7,56116.27
101290.14,3,4,31757.05
106932.9,4,3,35506.83
88370.5,8,10,40878.95
9956.73,7,6,17950.63
26038.83,6,3,18739.63
11128.69,2,2,9149.59
129100.03,6,6,44638.99
66299.42,1,4,22858.99
104171.28,1,7,34330.63
181975.46,4,2,52419.26
53611.98,6,3,23704.14
85024.67,1,10,33399.74
152332.47,1,5,44476.06
49615.64,8,8,28088.97
20011.08,6,5,17840.48
61501.53,1,9,25121.17
36438.15,8,8,25823.5
186291.04,1,2,51624.2
162583.47,2,8,46664.61
128513.73,2,4,35231.16
174934.82,2,7,53529.69
161716.05,3,7,51947.06
41381.16,2,2,14709.13
179049.0,3,1,54201.85
110171.74,4,2,35904.24
162450.83,8,4,56957.22
179737.8,1,10,58633.99
67010.68,8,7,32223.04
26460.13,7,3,20609.02
49447.36,2,3,18572.37
88286.02,4,6,33672.12
164512.88,1,6,47906.51
172842.46,4,4,54881.06
6355.67,6,10,21206.2
104595.72,5,5,38775.18
86395.15,1,4,28798.42
48311.02,8,2,27343.64
28373.75,1,1,12792.94
70834.96,3,1,23136.08
188867.39,6,3,60033.09
68024.57,7,4,31393.71
106164.17,6,10,42368.41
142088.7,1,7,42402.03
75907.77,4,1,29727.79
194497.51,7,2,63111.86
192677.22,7,1,59235.01
54097.55,7,7,32186.72
101963.46,5,2,32852.52
63671.27,8,3,33044.89
60543.9,5,6,31176.37
12192.95,2,10,20137.66
123865.05,2,1,36132.36
103022.41,4,2,34871.76
15038.36,2,10,18859.94
59336.06,5,3,27758.09
182111.85,5,8,59262.06
51714.57,3,7,25356.88
33254.5,8,5,22851.82
100443.29,1,9,32922.92
197201.84,7,10,68504.38
52200.78,7,10,29286.39
136066.43,7,9,51879.05
153515.82,1,8,49955.47
51339.32,2,7,22924.23
147002.19,8,7,57487.49
76717.71,4,3,29223.78
128299.64,8,9,50681.25
128538.29,7,10,50242.76
109476.06,1,2,30785.59
22606.51,6,9,16873.46
167883.99,1,7,48878.15
67552.11,8,3,28030.34
41371.11,5,2,21850.63
12951.15,2,7,16171.31
120224.12,4,5,41178.59
137125.05,3,1,42510.63
8234.63,4,8,15141.31
104858.15,7,1,35346.49
49166.68,7,10,32510.78
130808.69,2,6,38984.98
39001.45,4,9,22749.55
139732.86,6,7,45929.73
80413.39,1,7,27274.48
187662.35,6,8,64175.89
31816.58,4,4,20471.86
71507.94,2,7,29922.89
27127.34,4,3,17970.49
185315.26,2,7,59333.73
176081.17,7,7,58195.21
55298.62,1,1,19149.14
133696.89,5,2,43216.19
164358.33,4,5,52761.02
113264.16,8,3,41700.0
108281.86,8,4,42773.74
52161.2,6,7,28048.29
23155.04,1,2,12756.54
179957.07,5,10,60442.86
180581.52,1,4,48805.95
128454.78,5,2,41531.08
71110.81,5,6,34197.57
73095.87,8,6,34957.4
146561.36,3,3,40841.9
179936.5,8,9,61956.68
177981.85,5,8,60453.31
157075.73,6,7,53489.86
130196.17,8,5,49412.47
21407.29,7,1,14321.71
36517.6,5,7,22307.11
180218.07,6,9,59123.91
123253.67,7,3,43435.05
6793.43,7,2,15702.68
24786.95,7,6,17961.67
134382.84,1,7,41842.45
5987.01,2,10,11793.93
36357.57,8,6,27580.31
112003.09,5,2,39651.61
139919.56,5,2,44714.08
132132.45,2,8,43122.13
48732.52,5,7,22907.08
143874.95,4,9,51036.81
51263.57,8,5,29420.64
68452.94,8,2,31380.76
150565.82,4,9,50507.19
131678.42,8,4,45959.65
170598.57,1,10,54271.13
133234.51,6,8,51916.74
115820.18,3,3,35070.39
23266.58,8,5,18657.05
76704.58,7,10,36658.79
56714.46,4,7,29495.73
52577.98,4,7,27643.81
194737.06,8,7,65891.27
81654.06,7,10,37055.7
178949.08,5,8,58176.4
128072.03,5,9,48611.48
159988.2,8,10,59174.81
103014.23,4,10,40097.4
117496.26,4,6,40237.08
101040.95,6,8,40604.02
43072.38,5,9,28227.02
145878.16,8,1,48861.77
59750.61,8,8,31990.82
9741.61,8,7,16877.58
130867.1,2,9,47251.95
39536.58,4,1,21082.28
188389.42,3,7,58086.31
191016.07,2,5,56890.24
183398.56,3,7,59025.47
77180.95,3,6,29810.63
8014.04,1,1,9315.64
186022.12,5,1,54481.24
88495.91,8,7,40279.51
193497.69,3,3,53120.69
