income,family_size,spending_score,expenses
140642,3,3,52798.01
74043,6,5,61314.19
63044,1,6,18643.28
61683,1,9,32461.45
69518,6,4,54966.69
111531,7,10,75261.92
24895,5,3,25419.85
94294,2,3,29144.63
80121,5,2,46301.41
144227,4,10,77914.73
90410,2,9,53372.73
46722,5,9,37745.62
68736,5,4,49468.32
71690,5,3,42083.69
130716,1,2,28596.0
73484,1,9,36509.61
92487,5,1,41339.54
113682,2,10,61762.94
71940,7,3,63913.93
53730,4,5,41012.11
105641,4,5,53769.7
36308,1,10,13917.88
96360,1,9,37012.29
33328,2,8,22983.85
138841,5,1,49747.23
56744,1,10,26130.63
97323,6,10,68058.74
54730,5,2,33877.18
25807,4,1,25785.3
44219,4,9,36516.4
106079,1,7,36005.49
120195,2,3,48903.13
58675,5,7,41744.11
64609,2,1,26422.03
90567,4,10,57640.71
136062,1,4,39667.78
57359,6,9,49857.15
138430,6,6,70391.47
55538,5,8,42010.35
123146,1,6,45634.55
52525,5,8,49656.71
120673,7,7,81833.8
129045,7,1,68439.97
20206,4,7,22940.47
68048,6,5,47616.89
46409,6,5,42986.94
149278,2,8,60092.97
61952,2,7,25595.74
143582,7,7,85393.61
123235,4,9,56331.1
118705,7,9,75331.35
69921,6,4,42359.9
58914,5,6,40708.13
43500,4,5,38983.68
110316,5,8,58642.12
59918,5,8,47139.61
47269,1,4,18221.09
87136,1,1,30671.39
123453,3,9,66332.93
144201,4,5,56468.69
144875,3,7,63535.47
90383,3,9,46793.88
55129,2,5,24290.55
56161,2,4,20098.63
73090,1,9,31804.19
148638,7,2,74322.69
118459,7,10,83829.81
84503,6,1,53858.23
22243,6,2,37597.49
84932,2,4,33145.61
108622,2,6,43132.31
72931,2,8,30435.11
75580,5,9,50098.3
30819,2,3,22240.19
123983,4,10,66180.54
24769,1,6,5431.52
118088,6,10,71687.53
50571,4,4,29108.99
52143,5,4,45930.93
33828,6,9,42907.12
130141,7,3,68824.08
125461,6,2,57373.19
50294,1,8,21599.17
127245,6,7,83524.78
42582,1,6,30670.2
25479,5,2,30119.66
147926,6,7,79244.96
64695,2,2,25646.3
75576,6,4,57052.85
95182,7,8,72240.14
58701,4,4,34158.62
64755,2,3,30358.31
111472,7,6,69471.49
51024,5,10,47465.76
143334,4,3,59584.66
80434,4,7,38851.08
43827,5,8,35631.58
69898,7,10,66395.39
94286,4,5,50274.31
82135,5,10,58732.58
112511,6,10,86772.09
149850,6,1,69633.37
124874,5,4,67991.29
35095,3,1,29618.71
77015,7,10,68302.04
83193,2,2,32854.39
49259,6,4,45806.87
51965,5,4,32880.25
48974,2,4,26103.09
116681,1,6,49360.04
87444,4,2,36865.92
142486,1,10,62367.96
89989,2,8,45066.45
131176,1,9,55725.91
81005,7,7,55952.16
23172,3,9,21749.19
50538,1,7,25458.72
148395,2,1,44149.62
42545,4,10,33249.84
88770,1,4,30439.31
106048,3,4,38337.02
116800,5,2,54342.15
111488,2,7,50524.41
39509,3,7,26467.82
132836,4,6,68903.31
